freq_GHz,Sdd11_dB,S11_single_ended_dB,VSWR_differential
2.188500,-5.5733,-7.0684,3.2232
2.190200,-5.5758,-7.0362,3.2218
2.191900,-5.5783,-7.0042,3.2205
2.193600,-5.5808,-6.9724,3.2191
2.195300,-5.5834,-6.9408,3.2178
2.197000,-5.5859,-6.9095,3.2164
2.198700,-5.5884,-6.8784,3.2150
2.200400,-5.5910,-6.8475,3.2137
2.202100,-5.5935,-6.8169,3.2123
2.203800,-5.5961,-6.7864,3.2109
2.205500,-5.5987,-6.7562,3.2095
2.207200,-5.6013,-6.7262,3.2081
2.208900,-5.6039,-6.6964,3.2067
2.210600,-5.6065,-6.6669,3.2053
2.212300,-5.6091,-6.6375,3.2040
2.214000,-5.6117,-6.6084,3.2025
2.215700,-5.6144,-6.5794,3.2011
2.217400,-5.6171,-6.5507,3.1997
2.219100,-5.6197,-6.5222,3.1983
2.220800,-5.6224,-6.4938,3.1969
2.222500,-5.6251,-6.4657,3.1954
2.224200,-5.6278,-6.4378,3.1940
2.225900,-5.6305,-6.4101,3.1926
2.227600,-5.6333,-6.3825,3.1911
2.229300,-5.6360,-6.3552,3.1897
2.231000,-5.6388,-6.3281,3.1882
2.232700,-5.6416,-6.3011,3.1867
2.234400,-5.6444,-6.2743,3.1852
2.236100,-5.6473,-6.2478,3.1838
2.237800,-5.6501,-6.2214,3.1823
2.239500,-5.6530,-6.1952,3.1807
2.241200,-5.6559,-6.1691,3.1792
2.242900,-5.6588,-6.1433,3.1777
2.244600,-5.6617,-6.1176,3.1762
2.246300,-5.6646,-6.0922,3.1746
2.248000,-5.6676,-6.0669,3.1731
2.249700,-5.6706,-6.0417,3.1715
2.251400,-5.6736,-6.0168,3.1700
2.253100,-5.6766,-5.9920,3.1684
2.254800,-5.6797,-5.9674,3.1668
2.256500,-5.6827,-5.9430,3.1652
2.258200,-5.6858,-5.9187,3.1636
2.259900,-5.6890,-5.8946,3.1620
2.261600,-5.6921,-5.8706,3.1604
2.263300,-5.6953,-5.8469,3.1587
2.265000,-5.6985,-5.8233,3.1571
2.266700,-5.7017,-5.7998,3.1554
2.268400,-5.7049,-5.7766,3.1537
2.270100,-5.7082,-5.7534,3.1520
2.271800,-5.7115,-5.7305,3.1504
2.273500,-5.7148,-5.7077,3.1486
2.275200,-5.7182,-5.6850,3.1469
2.276900,-5.7216,-5.6625,3.1452
2.278600,-5.7250,-5.6402,3.1435
2.280300,-5.7284,-5.6180,3.1417
2.282000,-5.7319,-5.5960,3.1399
2.283700,-5.7354,-5.5741,3.1381
2.285400,-5.7389,-5.5524,3.1364
2.287100,-5.7424,-5.5308,3.1345
2.288800,-5.7460,-5.5093,3.1327
2.290500,-5.7496,-5.4881,3.1309
2.292200,-5.7533,-5.4669,3.1291
2.293900,-5.7570,-5.4459,3.1272
2.295600,-5.7607,-5.4251,3.1253
2.297300,-5.7644,-5.4044,3.1234
2.299000,-5.7682,-5.3838,3.1215
2.300700,-5.7720,-5.3634,3.1196
2.302400,-5.7758,-5.3431,3.1177
2.304100,-5.7797,-5.3229,3.1158
2.305800,-5.7836,-5.3029,3.1138
2.307500,-5.7875,-5.2830,3.1118
2.309200,-5.7915,-5.2633,3.1099
2.310900,-5.7955,-5.2437,3.1079
2.312600,-5.7995,-5.2242,3.1058
2.314300,-5.8036,-5.2049,3.1038
2.316000,-5.8077,-5.1857,3.1018
2.317700,-5.8119,-5.1666,3.0997
2.319400,-5.8160,-5.1477,3.0977
2.321100,-5.8202,-5.1289,3.0956
2.322800,-5.8245,-5.1102,3.0935
2.324500,-5.8288,-5.0916,3.0914
2.326200,-5.8331,-5.0732,3.0892
2.327900,-5.8375,-5.0549,3.0871
2.329600,-5.8419,-5.0367,3.0849
2.331300,-5.8463,-5.0187,3.0827
2.333000,-5.8508,-5.0008,3.0806
2.334700,-5.8553,-4.9830,3.0783
2.336400,-5.8599,-4.9653,3.0761
2.338100,-5.8645,-4.9477,3.0739
2.339800,-5.8691,-4.9303,3.0716
2.341500,-5.8738,-4.9130,3.0694
2.343200,-5.8785,-4.8958,3.0671
2.344900,-5.8832,-4.8787,3.0648
2.346600,-5.8880,-4.8617,3.0625
2.348300,-5.8929,-4.8449,3.0602
2.350000,-5.8977,-4.8282,3.0578
2.351700,-5.9027,-4.8116,3.0554
2.353400,-5.9076,-4.7951,3.0531
2.355100,-5.9126,-4.7787,3.0507
2.356800,-5.9176,-4.7625,3.0483
2.358500,-5.9227,-4.7463,3.0458
2.360200,-5.9279,-4.7303,3.0434
2.361900,-5.9330,-4.7144,3.0409
2.363600,-5.9382,-4.6986,3.0385
