freq_GHz,S11_dB_flat_0pct,S11_dB_flat_5pct,S11_dB_flat_10pct,S11_dB_flat_15pct,S11_dB_flat_20pct
2.682000,-16.0667,-11.5816,-6.9483,-5.2224,-4.0005
2.684000,-15.8932,-11.4611,-6.8901,-5.1828,-3.9730
2.686000,-15.7217,-11.3426,-6.8327,-5.1435,-3.9459
2.688000,-15.5522,-11.2260,-6.7759,-5.1048,-3.9190
2.690000,-15.3848,-11.1113,-6.7200,-5.0665,-3.8924
2.692000,-15.2195,-10.9985,-6.6647,-5.0286,-3.8661
2.694000,-15.0564,-10.8875,-6.6101,-4.9911,-3.8401
2.696000,-14.8955,-10.7782,-6.5561,-4.9541,-3.8144
2.698000,-14.7368,-10.6707,-6.5029,-4.9175,-3.7889
2.700000,-14.5804,-10.5649,-6.4503,-4.8814,-3.7638
2.702000,-14.4261,-10.4607,-6.3983,-4.8456,-3.7389
2.704000,-14.2740,-10.3581,-6.3470,-4.8102,-3.7142
2.706000,-14.1241,-10.2571,-6.2963,-4.7752,-3.6898
2.708000,-13.9764,-10.1576,-6.2462,-4.7407,-3.6657
2.710000,-13.8309,-10.0596,-6.1967,-4.7065,-3.6418
2.712000,-13.6874,-9.9631,-6.1478,-4.6727,-3.6182
2.714000,-13.5461,-9.8679,-6.0995,-4.6392,-3.5948
2.716000,-13.4069,-9.7742,-6.0517,-4.6061,-3.5717
2.718000,-13.2697,-9.6819,-6.0045,-4.5734,-3.5488
2.720000,-13.1346,-9.5909,-5.9579,-4.5411,-3.5262
2.722000,-13.0014,-9.5012,-5.9118,-4.5091,-3.5038
2.724000,-12.8703,-9.4128,-5.8663,-4.4774,-3.4816
2.726000,-12.7410,-9.3256,-5.8213,-4.4461,-3.4596
2.728000,-12.6137,-9.2397,-5.7768,-4.4152,-3.4379
2.730000,-12.4882,-9.1550,-5.7328,-4.3845,-3.4164
2.732000,-12.3646,-9.0714,-5.6893,-4.3542,-3.3951
2.734000,-12.2427,-8.9890,-5.6463,-4.3243,-3.3741
2.736000,-12.1227,-8.9077,-5.6039,-4.2946,-3.3532
2.738000,-12.0044,-8.8276,-5.5618,-4.2653,-3.3326
2.740000,-11.8877,-8.7485,-5.5203,-4.2362,-3.3122
2.742000,-11.7728,-8.6705,-5.4792,-4.2075,-3.2920
2.744000,-11.6595,-8.5935,-5.4386,-4.1791,-3.2719
2.746000,-11.5479,-8.5176,-5.3985,-4.1510,-3.2521
2.748000,-11.4378,-8.4426,-5.3588,-4.1232,-3.2325
2.750000,-11.3293,-8.3687,-5.3195,-4.0956,-3.2131
2.752000,-11.2223,-8.2957,-5.2807,-4.0684,-3.1939
2.754000,-11.1168,-8.2236,-5.2423,-4.0414,-3.1749
2.756000,-11.0128,-8.1525,-5.2043,-4.0148,-3.1560
2.758000,-10.9102,-8.0823,-5.1667,-3.9884,-3.1374
2.760000,-10.8090,-8.0130,-5.1296,-3.9622,-3.1189
2.762000,-10.7093,-7.9446,-5.0928,-3.9364,-3.1006
2.764000,-10.6109,-7.8770,-5.0565,-3.9108,-3.0825
2.766000,-10.5138,-7.8103,-5.0205,-3.8854,-3.0646
2.768000,-10.4180,-7.7444,-4.9849,-3.8604,-3.0468
2.770000,-10.3235,-7.6793,-4.9497,-3.8355,-3.0292
2.772000,-10.2303,-7.6151,-4.9149,-3.8110,-3.0118
2.774000,-10.1384,-7.5516,-4.8805,-3.7866,-2.9946
2.776000,-10.0476,-7.4889,-4.8464,-3.7626,-2.9775
2.778000,-9.9581,-7.4270,-4.8127,-3.7387,-2.9606
