freq_GHz,S11_dB_measured_singleended
0.07209700000000001,-0.02474071830511093
0.09609600000000001,-0.002189667895436287
0.12009500000000002,-0.025047045201063156
0.144094,-0.07867898046970367
0.16809300000000002,-0.053384341299533844
0.192092,-0.05244596302509308
0.216091,-0.07127539068460464
0.24009000000000003,-0.07364276051521301
0.264089,-0.05551128089427948
0.288088,-0.08056831359863281
0.312087,-0.07687568664550781
0.33608600000000005,-0.08643293380737305
0.36008500000000004,-0.058962345123291016
0.38408400000000004,-0.0900193452835083
0.40808300000000003,-0.11590148508548737
0.432082,-0.11051025986671448
0.45608100000000007,-0.14093033969402313
0.48008000000000006,-0.15006829798221588
0.504079,-0.19152072072029114
0.528078,-0.18328028917312622
0.552077,-0.21466359496116638
0.576076,-0.21584871411323547
0.600075,-0.2673038840293884
0.624074,-0.3400682210922241
0.6480730000000001,-0.32368171215057373
0.6720720000000001,-0.37731102108955383
0.6960710000000001,-0.4346503019332886
0.7200700000000001,-0.4964205026626587
0.7440690000000001,-0.5357043743133545
0.7680680000000001,-0.5437114238739014
0.7920670000000001,-0.5382041931152344
0.8160660000000001,-0.5427743196487427
0.8400650000000001,-0.5171263217926025
0.864064,-0.5369210243225098
0.888063,-0.5900197625160217
0.9120620000000002,-0.6964079141616821
0.9360610000000001,-0.8214988708496094
0.9600600000000001,-0.9557634592056274
0.9840590000000001,-1.0363600254058838
1.0080580000000001,-1.07906174659729
1.0320570000000002,-1.1845837831497192
1.056056,-1.2085189819335938
1.0800550000000002,-1.2602715492248535
1.104054,-1.2681363821029663
1.1280530000000002,-1.4266465902328491
1.152052,-1.6122193336486816
1.1760510000000002,-1.8522330522537231
1.20005,-2.0000312328338623
1.2240490000000002,-2.006455183029175
1.248048,-1.8169726133346558
1.2720470000000001,-1.5982820987701416
1.2960460000000003,-1.3995838165283203
1.3200450000000001,-1.453180193901062
1.3440440000000002,-1.539090633392334
1.3680430000000001,-1.7888081073760986
1.3920420000000002,-1.8956166505813599
1.416041,-1.946958303451538
1.4400400000000002,-1.9120582342147827
1.464039,-1.9776809215545654
1.4880380000000002,-2.2176854610443115
1.512037,-2.0165367126464844
1.5360360000000002,-1.7929966449737549
1.5600350000000003,-1.8185760974884033
1.5840340000000002,-1.8219720125198364
1.6080330000000003,-1.9008054733276367
1.6320320000000001,-1.9749391078948975
1.6560310000000003,-2.2467031478881836
1.6800300000000001,-2.5924036502838135
1.7040290000000002,-2.6279356479644775
1.7280280000000001,-2.676297426223755
1.7520270000000002,-2.7627005577087402
1.776026,-2.8427882194519043
1.8000250000000002,-2.9078409671783447
1.8240240000000003,-3.0337443351745605
1.8480230000000002,-3.0419528484344482
1.8720220000000003,-3.0968706607818604
1.8960210000000002,-3.1063969135284424
1.9200200000000003,-3.2872328758239746
1.9440190000000002,-3.6190805435180664
1.9680180000000003,-3.984806537628174
1.9920170000000001,-4.468845844268799
2.0160160000000005,-5.148562431335449
2.0400150000000004,-5.818622589111328
2.0640140000000007,-6.309737682342529
2.0880130000000006,-6.6144208908081055
2.1120120000000004,-6.781859397888184
2.1360110000000003,-6.856503009796143
2.1600100000000007,-6.6368255615234375
2.1840090000000005,-6.346080780029297
2.2080080000000004,-6.317236423492432
2.2320070000000003,-6.23723030090332
2.2560060000000006,-6.4521379470825195
2.2800050000000005,-6.891233444213867
2.3040040000000004,-7.422070503234863
2.3280030000000007,-7.943320274353027
2.3520020000000006,-8.37222957611084
2.3760010000000005,-8.723393440246582
2.4000000000000004,-8.877113342285156
2.4239990000000007,-8.956032752990723
2.4479980000000006,-9.146135330200195
2.4719970000000004,-9.403817176818848
2.4959960000000003,-9.500351905822754
2.5199950000000007,-9.366326332092285
2.5439940000000005,-9.290948867797852
2.5679930000000004,-9.300427436828613
2.5919920000000007,-9.562568664550781
2.6159910000000006,-10.2337007522583
2.6399900000000005,-10.284858703613281
2.6639890000000004,-9.511054039001465
2.6879880000000007,-8.450185775756836
2.7119870000000006,-7.354770183563232
2.7359860000000005,-6.62800931930542
2.7599850000000004,-6.200567722320557
2.7839840000000007,-6.007497787475586
2.8079830000000006,-5.905091285705566
2.8319820000000004,-5.990614414215088
2.8559810000000008,-6.027805805206299
2.8799800000000007,-6.285165786743164
2.9039790000000005,-6.475725173950195
2.9279780000000004,-6.48536491394043
2.9519770000000007,-6.28840446472168
2.9759760000000006,-5.932793617248535
2.9999750000000005,-5.68361759185791
3.0239740000000004,-5.361821174621582
3.0479730000000007,-5.0874342918396
3.0719720000000006,-4.787224769592285
3.0959710000000005,-4.626302242279053
3.119970000000001,-4.545439720153809
3.1439690000000007,-4.454554557800293
3.1679680000000006,-4.423036098480225
3.1919670000000004,-4.492486476898193
3.2159660000000008,-4.640255451202393
3.2399650000000007,-4.7145795822143555
3.2639640000000005,-4.757925033569336
3.2879630000000004,-4.741762161254883
3.3119620000000007,-4.580728054046631
3.3359610000000006,-4.473052501678467
3.3599600000000005,-4.399079322814941
3.383959000000001,-4.31859016418457
3.4079580000000007,-4.335395336151123
3.4319570000000006,-4.305399417877197
3.4559560000000005,-4.301078796386719
3.479955000000001,-4.110036849975586
3.5039540000000007,-3.7683799266815186
3.5279530000000006,-3.5836408138275146
3.5519520000000004,-3.463974714279175
3.5759510000000008,-3.399339199066162
3.5999500000000006,-3.191826820373535
3.6239490000000005,-3.090118408203125
3.647948000000001,-2.9154415130615234
3.6719470000000007,-2.828360080718994
3.6959460000000006,-2.6583826541900635
3.7199450000000005,-2.531740427017212
3.743944000000001,-2.426964282989502
3.7679430000000007,-2.298999309539795
3.7919420000000006,-2.1875336170196533
3.8159410000000005,-2.0705862045288086
3.839940000000001,-1.9563531875610352
3.8639390000000007,-1.8564188480377197
3.8879380000000006,-1.7815791368484497
3.911937000000001,-1.732374668121338
3.9359360000000008,-1.661035418510437
3.9599350000000006,-1.6214618682861328
3.9839340000000005,-1.586488962173462
