freq_GHz,radiation_eff_pct,delivered_diff_pct_derived,cst_total_eff_pct_singleport
1.8,8.123041331275862,4.915508458592634,3.922142048148556
1.9,8.13291828188036,5.393159088348123,3.8505439757372613
2.0,7.863738785595369,5.481095535633029,3.5174948109998176
2.1,7.455072243375464,5.32215022436912,3.222496736425455
2.2,6.938183593010039,5.023110442513817,2.951668779833337
2.3,6.230485193456343,4.580523629297918,2.65023470113874
2.4,5.5044745793196,4.1406950591066165,2.3780253074117943
2.44,5.217704877368303,3.9716221417107715,2.277958738375265
2.5,4.7806682007999255,3.712717441881156,2.1287294250138444
2.6,4.0654960781990805,3.272206443040918,1.8844435779547304
2.7,3.4375518709494366,2.848158448241106,1.6626371662284805
2.8,2.8814806290094492,2.400824610170274,1.4446157739157979
2.9,2.4343944995493065,1.9553948793797145,1.2538535428375561
3.0,2.1234418860052644,1.5626516698802715,1.1409583497744058
3.1,1.8500514953589238,1.193949848160207,1.1051699542536069
3.2,1.5116133199789035,0.8351437509070285,1.0251744205101778
