freq_GHz,Sdd11_real,Sdd11_imag,Zdiff_real,Zdiff_imag
1.5,-0.22813869656375066,-0.7745480645753482,16.50791585713374,-73.47784170251995
1.5017,-0.23264915455374036,-0.7723110467019617,16.51363257221932,-73.00111730452282
1.5034,-0.23715187053255474,-0.7700408580453894,16.51965149776624,-72.52536617017434
1.5051,-0.24164655614862598,-0.7677374528064882,16.525972226647163,-72.05057885440395
1.5068,-0.24613292109123067,-0.7654007878246306,16.532594381571943,-71.57674597730437
1.5085,-0.2506106731112896,-0.7630308226208027,16.539517614830046,-71.10385822331949
1.5102,-0.25507951804299434,-0.7606275194407166,16.54674160803957,-70.63190634044314
1.5119,-0.2595391598262804,-0.7581908432979212,16.554266071902163,-70.1608811394273
1.5136,-0.26398930053014635,-0.7557207620168929,16.562090745964444,-69.69077349300042
1.5153,-0.26842964037683026,-0.7532172462760964,16.57021539838516,-69.22157433509541
1.517,-0.2728598777668482,-0.7506802696509979,16.578639825708326,-68.75327466008731
1.5187,-0.27727970930490686,-0.7481098086570122,16.587363852642042,-68.28586552204023
1.5204,-0.2816888298266878,-0.7455058427923761,16.59638733184271,-67.81933803396386
1.5221,-0.2860869324265227,-0.7428683545809203,16.605710143704975,-67.35368336707892
1.5238,-0.2904737084859549,-0.7401973296147333,16.615332196156626,-66.88889275009173
1.5255,-0.29484884770320063,-0.7374927565966953,16.625253424458798,-66.42495746847759
1.5272000000000001,-0.29921203812351277,-0.7347546273828649,16.63547379101113,-65.96186886377292
1.5289,-0.3035629661704519,-0.7319829370247037,16.645993285161808,-65.49961833287621
1.5306,-0.30790131667807713,-0.7291776838111172,16.656811923022246,-65.03819732735676
1.5323,-0.31222677292404777,-0.7263388693103003,16.667929747286408,-64.57759735277278
1.534,-0.3165390166636593,-0.7234664984113597,16.679346827054548,-64.1178099679967
1.5357,-0.3208377281648036,-0.7205605793657028,16.691063257661177,-63.65882678454882
1.5374,-0.3251225862438647,-0.7176211238281711,16.703079160507194,-63.20063946593903
1.5391,-0.3293932683025512,-0.7146481468978945,16.71539468289628,-62.74323972701593
1.5408,-0.33364945036567456,-0.7116416671588552,16.728009997874704,-62.28661933332365
1.5425,-0.3378908071198677,-0.7086017067201356,16.740925304075233,-61.830770100466104
1.5442,-0.3421170119532565,-0.7055282912558285,16.754140825564477,-61.37568389347841
1.5459,-0.34632773699608177,-0.7024214500445938,16.76765681169377,-60.921352626205405
1.5476,-0.35052265316227504,-0.6992812160088395,16.781473536953175,-60.46776826068709
1.5493,-0.3547014301919898,-0.6961076257535003,16.795591300829095,-60.014922806550864
1.551,-0.35886373669509686,-0.6929007196044008,16.81001042766417,-59.56280832040995
1.5527,-0.36300924019562864,-0.6896605416461754,16.824731266520995,-59.11141690526901
1.5544,-0.36713760717719546,-0.6863871397597243,16.839754191047824,-58.66074070993511
1.5561,-0.37124850312935664,-0.6830805656591834,16.855079599347302,-58.21077192843513
1.5578,-0.3753415925949559,-0.6797408749283844,16.87070791384756,-57.76150279943897
1.5595,-0.37941653921841845,-0.6763681270567821,16.88663958117574,-57.31292560568811
1.5612,-0.38347300579500737,-0.6729623854748277,16.902875072033584,-56.865032673429994
1.5629,-0.38751065432104476,-0.669523717588757,16.91941488107532,-56.41781637185695
1.5646,-0.39152914604508465,-0.6660521948147808,16.936259526787314,-55.97126911255086
1.5663,-0.39552814152004867,-0.6625478926126414,16.95340955136974,-55.525383348931896
1.568,-0.3995073006563139,-0.6590108905185159,16.97086552061976,-55.08015157571191
1.5697,-0.40346628277575136,-0.6554412721772416,16.988628023816485,-54.63556632835212
1.5714,-0.4074047466667125,-0.6518391253738349,17.006697673607373,-54.19162018252475
1.5731,-0.411322350639962,-0.6482045420642794,17.02507510589589,-53.74830575357804
1.5748,-0.41521875258554486,-0.6445376184055567,17.0437609797306,-53.3056156960051
1.5765,-0.419093610030591,-0.6408384547848931,17.06275597719537,-52.86354270291565
1.5782,-0.4229465801980481,-0.6371071558481931,17.08206080330058,-52.42207950551029
1.5799,-0.4267773200663333,-0.6333438305276352,17.1016761858755,-51.981218872557534
1.5816,-0.430585486429901,-0.6295485920684012,17.121602875461416,-51.54095360987301
1.5833,-0.4343707359607179,-0.6257215580545055,17.14184164520588,-51.101276559799906
1.585,-0.4381327252706315,-0.6218628504337085,17.162393290757443,-50.66218060069166
1.5867,-0.44187111097463183,-0.6179725955414672,17.183258630161607,-50.22365864639484
1.5884,-0.4455855497549868,-0.6140509241239113,17.20443850375713,-49.785703645733285
1.5901,-0.44927569842624754,-0.6100979713598004,17.225933774073376,-49.34830858199202
1.5918,-0.452941214001106,-0.606113876881442,17.247745325728296,-48.911466472401315
1.5935,-0.45658175375709287,-0.6020987847945358,17.269874065327325,-48.475170367620024
1.5952,-0.46019697530410936,-0.5980528436969091,17.292320921362982,-48.039413351217476
1.5969,-0.4637865366527604,-0.5939762066961252,17.31508684411557,-47.604188539154684
1.5986,-0.467350096283495,-0.5898690314259154,17.338172805554706,-47.169489079262604
1.6003,-0.470887313216516,-0.5857314800614164,17.361579799242328,-46.73530815071847
1.602,-0.47439784708245814,-0.5815637193331753,17.385308840236494,-46.30163896351881
1.6037,-0.47788135819379846,-0.5773659205398899,17.409360964997198,-45.86847475794913
1.6054,-0.481337507616992,-0.5731382595598504,17.433737231293538,-45.43580880404918
1.6071,-0.4847659572452975,-0.5688809168610562,17.458438718112994,-45.00363440107419
1.6088,-0.48816636987228007,-0.564594077509963,17.483466525572894,-44.57194487695027
1.6105,-0.4915384092659571,-0.5602779311788383,17.50882177483444,-44.14073358772454
1.6122,-0.4948817402435628,-0.5559326721516831,17.53450560801988,-43.709993917008674
1.6139000000000001,-0.4981960287469036,-0.5515584993286937,17.560519188132712,-43.27971927541567
1.6156,-0.5014809419182701,-0.5471556162292255,17.586863698982036,-42.849903099989255
1.6173,-0.5047361481768767,-0.5427242309932239,17.61354034511118,-42.420538853624834
1.619,-0.5079613172957891,-0.5382645563810978,17.64055035173128,-41.991620024482486
1.6207,-0.5111561204793073,-0.5337768097719933,17.667894964660455,-41.563140125390184
1.6224,-0.5143202304407639,-0.5292612131604392,17.695575450269246,-41.13509269323744
1.6241,-0.5174533214806942,-0.5247179931513352,17.72359309543316,-40.70747128835881
1.6258,-0.5205550695653365,-0.5201473809532464,17.751949207493123,-40.28026949390634
1.6275,-0.5236251524054175,-0.5155496123699765,17.780645114224615,-39.85348091521068
1.6292,-0.5266632495351713,-0.5109249277903933,17.809682163816596,-39.427099179130714
1.6309,-0.5296690423915442,-0.506273572176469,17.83906172486133,-39.0011179333904
1.6326,-0.5326422143935293,-0.5015957950495199,17.86878518635595,-38.575530845903415
1.6343,-0.5355824510215786,-0.49689185047460993,17.898853957717193,-38.15033160408438
1.6360000000000001,-0.5384894398970265,-0.4921619970430996,17.929269468810716,-37.725513914147136
1.6377,-0.5413628708614726,-0.48740649785331874,17.96003316999568,-37.30107150038916
1.6394,-0.5442024360560535,-0.4826256204893354,17.991146532187003,-36.8769981044621
1.6411,-0.5470078300005333,-0.47781963699781815,18.022611046935992,-36.45328748462908
1.6428,-0.5497787496721553,-0.472988823862962,18.054428226531204,-36.02993341500758
1.6445,-0.5525148945841678,-0.4681334619794713,18.086599604121545,-35.60692968479867
1.6461999999999999,-0.5552159668639605,-0.46325383662359987,18.119126733862522,-35.184270097503116
1.6479,-0.5578816713307282,-0.4583502374222229,18.152011191088494,-34.761948470123436
1.6496,-0.5605117155725811,-0.45342295831996615,18.18525457251183,-34.33995863235427
1.6513,-0.5631058100230224,-0.448472297544371,18.21885849645163,-33.91829442575975
1.653,-0.5656636680367098,-0.4434985575691179,18.252824603093426,-33.496949702939744
1.6547,-0.5681850059644074,-0.43850204507531393,18.287154554782436,-33.07591832668568
1.6564,-0.5706695432270475,-0.4334830709108687,18.32185003635197,-32.65519416912692
1.6581000000000001,-0.5731170023888116,-0.4284419500479733,18.356912755489176,-32.23477111086895
1.6598,-0.575527109229132,-0.42337900153871844,18.392344443140676,-31.814643040125045
1.6615,-0.5778995928135371,-0.41829454846888414,18.428146853959348,-31.394803851842806
1.6632,-0.5802341855632325,-0.4131889179099485,18.464321766795113,-30.975247446828117
1.6649,-0.5825306233233399,-0.4080624408693543,18.500870985231373,-30.555967730867724
1.6666,-0.5847886454296963,-0.40291545223910097,18.53779633816903,-30.136958613853572
1.6683,-0.5870079947741216,-0.39774829074272094,18.575099680460408,-29.71821400891152
1.67,-0.5891884178680779,-0.3925612988807081,18.612782893594215,-29.299727831536497
1.6717,-0.5913296649046192,-0.3873548228744894,18.650847886433983,-28.88149399873869
1.6734,-0.5934314898185664,-0.38212921260901467,18.68929659601084,-28.463506428202734
1.6751,-0.5954936503448172,-0.37688482157406744,18.72813098837243,-28.04575903746442
1.6768,-0.5975159080747248,-0.37162200680440044,18.76735305948887,-27.628245743108735
1.6785,-0.5994980285104762,-0.3663411288188051,18.806964836216775,-27.21096045999326
1.6802000000000001,-0.6014397811174104,-0.36104255155823817,18.846968377321833,-26.793897100501486
