strain_pct,freq_GHz,S11_dB
0.0,1.5,-0.5733250724849414
0.0,1.502,-0.5766112966997242
0.0,1.504,-0.5799392622757239
0.0,1.506,-0.5833094243413235
0.0,1.508,-0.5867222437961603
0.0,1.51,-0.5901781873923555
0.0,1.512,-0.5936777278169677
0.0,1.514,-0.5972213437757196
0.0,1.516,-0.6008095200779617
0.0,1.518,-0.6044427477229712
0.0,1.52,-0.6081215239875413
0.0,1.522,-0.6118463525149144
0.0,1.524,-0.6156177434050616
0.0,1.526,-0.6194362133063755
0.0,1.528,-0.6233022855087127
0.0,1.53,-0.6272164900379052
0.0,1.532,-0.6311793637517098
0.0,1.534,-0.635191450437213
0.0,1.536,-0.6392533009097447
0.0,1.538,-0.6433654731133037
0.0,1.54,-0.6475285322225456
0.0,1.542,-0.6517430507463313
0.0,1.544,-0.656009608632836
0.0,1.546,-0.6603287933763489
0.0,1.548,-0.6647012001256537
0.0,1.55,-0.6691274317941396
0.0,1.552,-0.6736080991715774
0.0,1.554,-0.6781438210376206
0.0,1.556,-0.682735224277115
0.0,1.558,-0.6873829439971477
0.0,1.56,-0.6920876236459332
0.0,1.562,-0.6968499151335482
0.0,1.564,-0.7016704789545353
0.0,1.566,-0.7065499843124425
0.0,1.568,-0.7114891092462461
0.0,1.57,-0.7164885407588382
0.0,1.572,-0.7215489749474391
0.0,1.574,-0.726671117136093
0.0,1.576,-0.7318556820101941
0.0,1.578,-0.737103393753231
0.0,1.58,-0.7424149861855123
0.0,1.582,-0.7477912029052212
0.0,1.584,-0.753232797431598
0.0,1.586,-0.7587405333504529
0.0,1.588,-0.764315184461887
0.0,1.59,-0.7699575349303922
0.0,1.592,-0.7756683794373344
0.0,1.594,-0.7814485233358658
0.0,1.596,-0.7872987828082179
0.0,1.598,-0.7932199850255506
0.0,1.6,-0.7992129683103739
0.0,1.602,-0.8052785823014477
0.0,1.604,-0.8114176881214115
0.0,1.606,-0.8176311585470407
0.0,1.608,-0.8239198781822321
0.0,1.61,-0.8302847436338063
0.0,1.612,-0.8367266636899856
0.0,1.614,-0.8432465595019457
0.0,1.616,-0.8498453647681306
0.0,1.618,-0.8565240259215651
0.0,1.62,-0.8632835023202367
0.0,1.6219999999999999,-0.8701247664405249
0.0,1.624,-0.8770488040737738
0.0,1.626,-0.8840566145260247
0.0,1.6280000000000001,-0.8911492108210133
0.0,1.63,-0.8983276199065117
0.0,1.6320000000000001,-0.9055928828639342
0.0,1.634,-0.9129460551214735
0.0,1.6360000000000001,-0.9203882066706913
0.0,1.638,-0.9279204222865987
0.0,1.6400000000000001,-0.9355438017514814
0.0,1.642,-0.9432594600822728
0.0,1.6440000000000001,-0.9510685277618315
0.0,1.646,-0.9589721509738545
0.0,1.648,-0.9669714918418936
0.0,1.65,-0.9750677286721834
0.0,1.652,-0.9832620562005924
0.0,1.654,-0.9915556858437204
0.0,1.656,-0.9999498459540569
0.0,1.658,-1.008445782079669
0.0,1.66,-1.0170447572279824
0.0,1.662,-1.025748052134236
0.0,1.664,-1.0345569655343236
0.0,1.666,-1.043472814442378
0.0,1.668,-1.0524969344329695
0.0,1.67,-1.0616306799282207
0.0,1.672,-1.0708754244897496
0.0,1.674,-1.080232561115693
0.0,1.676,-1.0897035025427346
0.0,1.678,-1.0992896815535225
0.0,1.68,-1.108992551289198
0.0,1.682,-1.1188135855675503
0.0,1.684,-1.1287542792065686
0.0,1.686,-1.1388161483536983
0.0,1.688,-1.149000730820992
0.0,1.69,-1.159309586425967
0.0,1.692,-1.1697442973386056
0.0,1.694,-1.1803064684344855
0.0,1.696,-1.1909977276542425
0.0,1.698,-1.2018197263693624
0.0,1.7,-1.2127741397546101
0.0,1.702,-1.2238626671671433
0.0,1.704,-1.2350870325325358
0.0,1.706,-1.246448984737671
0.0,1.708,-1.2579502980309347
0.0,1.71,-1.2695927724297251
0.0,1.712,-1.2813782341353575
0.0,1.714,-1.2933085359557572
0.0,1.716,-1.3053855577358684
0.0,1.718,-1.3176112067962014
0.0,1.72,-1.3299874183795037
0.0,1.722,-1.3425161561058667
0.0,1.724,-1.3551994124364328
0.0,1.726,-1.3680392091458997
0.0,1.728,-1.3810375978040157
0.0,1.73,-1.3941966602663287
0.0,1.732,-1.4075185091744025
0.0,1.734,-1.421005288465669
0.0,1.736,-1.4346591738932368
0.0,1.738,-1.4484823735558612
0.0,1.74,-1.4624771284383251
0.0,1.742,-1.4766457129624606
0.0,1.744,-1.4909904355492234
0.0,1.746,-1.5055136391918424
0.0,1.748,-1.5202177020406276
0.0,1.75,-1.5351050379994422
0.0,1.752,-1.5501780973344212
0.0,1.754,-1.5654393672949296
0.0,1.756,-1.5808913727475284
0.0,1.758,-1.5965366768227298
0.0,1.76,-1.6123778815753786
0.0,1.762,-1.6284176286587473
0.0,1.764,-1.6446586000127792
0.0,1.766,-1.661103518566838
0.0,1.768,-1.677755148957453
0.0,1.77,-1.6946162982613002
0.0,1.772,-1.7116898167439834
0.0,1.774,-1.7289785986249575
0.0,1.776,-1.7464855828590928
0.0,1.778,-1.76421375393533
0.0,1.78,-1.7821661426928492
0.0,1.782,-1.8003458271553598
0.0,1.784,-1.81875593338382
0.0,1.786,-1.8373996363484313
0.0,1.788,-1.856280160820011
0.0,1.79,-1.8754007822817889
0.0,1.792,-1.8947648278617633
0.0,1.794,-1.9143756772865703
0.0,1.796,-1.9342367638571811
0.0,1.798,-1.9543515754473948
0.0,1.8,-1.974723655525393
0.0,1.802,-1.9953566041994077
0.0,1.804,-2.016254079288054
0.0,1.806,-2.037419797415843
0.0,1.808,-2.058857535135172
0.0,1.81,-2.0805711300749214
0.0,1.812,-2.102564482116985
0.0,1.814,-2.1248415546012662
0.0,1.816,-2.1474063755601023
0.0,1.818,-2.170263038983097
0.0,1.82,-2.1934157061130035
0.0,1.822,-2.216868606773997
0.0,1.824,-2.2406260407330323
0.0,1.826,-2.264692379095347
