freq_GHz_meas_best,S11_dB_meas_best,freq_GHz_meas_degraded,S11_dB_meas_degraded,freq_GHz_sim,S11_dB_sim_freespace,S11_dB_sim_onbody
0.05343266666666667,-0.05344521999359131,0.07209700000000001,-0.02474071830511093,1.5,-1.310052792447619,-2.861680505653224
0.06009925000000001,-0.028679490089416504,0.09609600000000001,-0.002189667895436287,1.5017,-1.3187285222469192,-2.8831207860149517
0.06676583333333334,-0.028539597988128662,0.12009500000000002,-0.025047045201063156,1.5034,-1.3274619174906594,-2.904729248532072
0.07343241666666667,-0.01909784972667694,0.144094,-0.07867898046970367,1.5051,-1.3362533316906253,-2.926507399751102
0.080099,-0.04106549918651581,0.16809300000000002,-0.053384341299533844,1.5068,-1.3451031208200486,-2.9484567677008338
0.08676558333333334,-0.025601372122764587,0.192092,-0.05244596302509308,1.5085,-1.3540116433317073,-2.970578902408965
0.09343216666666666,-0.027893930673599243,0.216091,-0.07127539068460464,1.5102,-1.3629792601762074,-2.9928753764343585
0.10009875,-0.03173968195915222,0.24009000000000003,-0.07364276051521301,1.5119,-1.372006334820447,-3.015347785415588
0.10676533333333334,-0.052363425493240356,0.264089,-0.05551128089427948,1.5136,-1.3810932332662684,-3.037997748636068
0.11343191666666667,-0.052407532930374146,0.288088,-0.08056831359863281,1.5153,-1.3902403240693046,-3.060826909606369
0.12009850000000001,-0.098783940076828,0.312087,-0.07687568664550781,1.517,-1.3994479783580087,-3.0838369366641687
0.12676508333333333,-0.3589138388633728,0.33608600000000005,-0.08643293380737305,1.5187,-1.4087165698529076,-3.107029523592393
0.13343166666666667,-2.9253549575805664,0.36008500000000004,-0.058962345123291016,1.5204,-1.4180464748860446,-3.13040639025595
0.14009824999999998,-1.1250543594360352,0.38408400000000004,-0.0900193452835083,1.5221,-1.4274380724206193,-3.1539692832577466
0.14676483333333332,-0.42698317766189575,0.40808300000000003,-0.11590148508548737,1.5238,-1.4368917440708826,-3.1777199766143935
0.15343141666666665,-0.2978689670562744,0.432082,-0.11051025986671448,1.5255,-1.4464078741222244,-3.2016602724522043
0.160098,-0.20896485447883606,0.45608100000000007,-0.14093033969402313,1.5272000000000001,-1.4559868495514756,-3.2257920017240105
0.16676458333333333,-0.17171204090118408,0.48008000000000006,-0.15006829798221588,1.5289,-1.4656290600474766,-3.2501170249474276
0.17343116666666666,-0.1667425036430359,0.504079,-0.19152072072029114,1.5306,-1.4753348980318501,-3.274637232965048
