channel,watts,pct_of_accepted
Radiated,0.011389523269530941,5.217522495869179
Muscle,0.08083888451210075,37.032164428794964
Skin,0.05351545254214762,24.515343698557963
Fat,0.011441857899122878,5.241496906452227
Ecoflex (tan δ),0.050948850455447205,23.33958736456562
EGaIn conductor,0.010156199459589036,4.652538820013537
